2016/11/20 13:27:38 [error] 3989#3989: *2 open() "/home/box/web/public/test.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /test.js HTTP/1.1", host: "localhost"
2016/11/20 13:27:52 [error] 3989#3989: *2 open() "/home/box/web/public/upload/test.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /upload/test.js HTTP/1.1", host: "localhost"
2016/11/20 13:29:22 [error] 3989#3989: *3 open() "/home/box/web/uploads/test.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /uploads/test.js HTTP/1.1", host: "127.0.0.1"
2016/11/20 13:29:22 [error] 3989#3989: *3 open() "/home/box/web/public/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1"
2016/11/20 13:29:23 [error] 3989#3989: *3 open() "/home/box/web/public/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "127.0.0.1"
2016/11/20 13:31:01 [error] 3989#3989: *4 open() "/home/box/web/uploads/test.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /uploads/test.js HTTP/1.1", host: "localhost"
2016/11/20 14:08:26 [error] 3989#3989: *6 open() "/home/box/web/uploads/test.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /uploads/test.js HTTP/1.1", host: "127.0.0.1"
2016/11/20 14:19:55 [error] 3989#3989: *8 open() "/home/box/web/public/img/test.js" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /img/test.js HTTP/1.1", host: "localhost"
2016/11/20 14:45:06 [error] 4620#4620: *1 open() "/home/box/web/public/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost"
2016/11/20 14:45:06 [error] 4620#4620: *1 open() "/home/box/web/public/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost"
2016/11/20 18:59:17 [error] 2702#2702: *1 open() "/home/box/web/public/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost"
2016/11/20 18:59:17 [error] 2702#2702: *1 open() "/home/box/web/public/favicon.ico" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /favicon.ico HTTP/1.1", host: "localhost"
